股號,股名,產業別
0050,元大台灣50,未知
0051,元大中型100,未知
0052,富邦科技,未知
0053,元大電子,未知
0055,元大MSCI金融,未知
0056,元大高股息,未知
0057,富邦摩台,未知
0061,元大寶滬深,未知
006203,元大MSCI台灣,未知
006204,永豐臺灣加權,未知
006205,富邦上証,未知
006206,元大上證50,未知
006207,復華滬深,未知
006208,富邦台50,未知
00625K,富邦上証+R,未知
00631L,元大台灣50正2,未知
00632R,元大台灣50反1,未知
00633L,富邦上証正2,未知
00634R,富邦上証反1,未知
00635U,期元大S&P黃金,未知
00636,國泰中國A50,未知
00636K,國泰中國A50+U,未知
00637L,元大滬深300正2,未知
00638R,元大滬深300反1,未知
00639,富邦深100,未知
00640L,富邦日本正2,未知
00641R,富邦日本反1,未知
00642U,期元大S&P石油,未知
00643,群益深証中小,未知
00643K,群益深証中小+R,未知
00645,富邦日本,未知
00646,元大S&P500,未知
00647L,元大S&P500正2,未知
00648R,元大S&P500反1,未知
00650L,復華香港正2,未知
00651R,復華香港反1,未知
00652,富邦印度,未知
00653L,富邦印度正2,未知
00654R,富邦印度反1,未知
00655L,國泰中國A50正2,未知
00656R,國泰中國A50反1,未知
00657,國泰日經225,未知
00657K,國泰日經225+U,未知
00660,元大歐洲50,未知
00661,元大日經225,未知
00662,富邦NASDAQ,未知
00663L,國泰臺灣加權正2,未知
00664R,國泰臺灣加權反1,未知
00665L,富邦恒生國企正2,未知
00666R,富邦恒生國企反1,未知
00668,國泰美國道瓊,未知
00668K,國泰美國道瓊+U,未知
00669R,國泰美國道瓊反1,未知
00670L,富邦NASDAQ正2,未知
00671R,富邦NASDAQ反1,未知
00673R,期元大S&P原油反1,未知
00674R,期元大S&P黃金反1,未知
00675L,富邦臺灣加權正2,未知
00676R,富邦臺灣加權反1,未知
00678,群益那斯達克生技,未知
00680L,元大美債20正2,未知
00681R,元大美債20反1,未知
00682U,期元大美元指數,未知
00683L,期元大美元指正2,未知
00684R,期元大美元指反1,未知
00685L,群益臺灣加權正2,未知
00686R,群益臺灣加權反1,未知
00688L,國泰20年美債正2,未知
00689R,國泰20年美債反1,未知
00690,兆豐藍籌30,未知
00692,富邦公司治理,未知
00693U,期街口S&P黃豆,未知
00700,富邦恒生國企,未知
00701,國泰股利精選30,未知
00702,國泰標普低波高息,未知
00703,台新MSCI中國,未知
00706L,期元大S&P日圓正2,未知
00707R,期元大S&P日圓反1,未知
00708L,期元大S&P黃金正2,未知
00709,富邦歐洲,未知
00710B,復華彭博非投等債,未知
00711B,復華彭博新興債,未知
00712,復華富時不動產,未知
00713,元大台灣高息低波,未知
00714,群益道瓊美國地產,未知
